Energy(eV)  cross_section(angstrom^2/1e-16cm^2)
0.41193 10.680816426812878
0.41393 10.688006999077926
0.41593 10.695184025217035
0.41793 10.702347636930975
0.41993 10.709497963372646
0.42193 10.716635131203835
0.42393 10.723759264650479
0.42593 10.730870485556512
0.42793 10.737968913436232
0.42993 10.74505466552533
0.43193 10.752127856830628
0.43393 10.759188600178435
0.43593 10.766237006261763
0.43792 10.773273183686257
0.43992 10.780297239014965
0.44192 10.787309276811985
0.44392 10.794309399685002
0.44592 10.801297708326723
0.44792 10.8082743015553
0.44992 10.815239276353752
0.45192 10.82219272790834
0.45392 10.82913474964607
0.45592 10.836065433271221
0.45792 10.842984868800974
0.45992 10.849893144600184
0.46192 10.856790347415302
0.46392 10.863676562407454
0.46592 10.87055187318474
0.46792 10.877416361833733
0.46992 10.884270108950254
0.47192 10.89111319366937
0.47392 10.897945693694705
0.47592 10.904767685327032
0.47792 10.911579243492236
0.47992 10.91838044176856
0.48192 10.925171352413242
0.48392 10.931952046388544
0.48592 10.938722593387125
0.48792 10.9454830618569
0.48992 10.952233519025247
0.49192 10.958974030922723
0.49391 10.965704662406187
0.49591 10.972425477181433
0.49791 10.979136537825273
0.49991 10.985837905807163
0.50191 10.992529641510304
0.50391 10.999211804252276
0.50591 11.005884452305239
0.50791 11.012547642915637
0.50991 11.019201432323502
0.51191 11.025845875781316
0.51391 11.032481027572453
0.51591 11.039106941029244
0.51791 11.045723668550584
0.51991 11.052331261619225
0.52191 11.058929770818672
0.52391 11.065519245849671
0.52591 11.072099735546415
0.52791 11.078671287892329
0.52991 11.085233950035578
0.53191 11.091787768304195
0.53391 11.09833278822094
0.53591 11.104869054517778
0.53791 11.111396611150118
0.53991 11.11791550131071
0.54191 11.12442576744326
0.54391 11.130927451255777
0.54591 11.137420593733633
0.54790 11.143905235152326
0.54990 11.150381415090035
0.55190 11.156849172439864
0.55390 11.163308545421868
0.55590 11.169759571594811
0.55790 11.176202287867708
0.55990 11.182636730511119
0.56190 11.189062935168204
0.56390 11.195480936865575
0.56590 11.201890770023939
0.56790 11.208292468468485
0.56990 11.214686065439112
0.57190 11.221071593600424
0.57390 11.22744908505153
0.57590 11.233818571335672
0.57790 11.240180083449644
0.57990 11.246533651853024
0.58190 11.252879306477235
0.58390 11.259217076734437
0.58590 11.265546991526222
0.58790 11.27186907925218
0.58990 11.27818336781824
0.59190 11.284489884644925
0.59390 11.290788656675394
0.59590 11.29707971038333
0.59790 11.303363071780726
0.59990 11.309638766425495
0.60190 11.315906819428893
0.60389 11.32216725546289
0.60589 11.328420098767337
0.60789 11.334665373157014
0.60989 11.340903102028564
0.61189 11.347133308367276
0.61389 11.353356014753755
0.61589 11.359571243370475
0.61789 11.36577901600818
0.61989 11.371979354072218
0.62189 11.378172278588714
0.62389 11.384357810210643
0.62589 11.390535969223825
0.62789 11.396706775552744
0.62989 11.402870248766344
0.63189 11.409026408083648
0.63389 11.415175272379324
0.63589 11.421316860189123
