eV cross_section
19.91640 0.2728509326109103
19.93608 0.2739983883952523
19.95576 0.27514516216839163
19.97544 0.2762912552016782
19.99512 0.2774366686693479
20.01480 0.27858140364560624
20.03448 0.2797254611016582
20.05416 0.2808688419027391
20.07384 0.2820115468050711
20.09352 0.2831535764527979
20.11320 0.2842949313748618
20.13288 0.2854356119818623
20.15256 0.28657561856288677
20.17224 0.2877149512822595
20.19192 0.288853610176307
20.21160 0.2899915951500475
20.23128 0.2911289059738873
20.25097 0.2922655422802545
20.27065 0.29340150356018024
20.29033 0.29453678915992376
20.31001 0.29567139827748024
20.32969 0.2968053299591232
20.34937 0.297938583095879
20.36905 0.29907115642001303
20.38873 0.30020304850146284
20.40841 0.301334257744255
20.42809 0.30246478238289204
20.44777 0.3035946204787759
20.46745 0.3047237699165019
