Energy(eV)  cross_section(angstrom^2/1e-16cm^2)
1.63003 15.334480039943248
1.64003 15.356430849155325
1.65003 15.378165674944439
1.66003 15.399685094888538
1.67003 15.42098970029474
1.68003 15.442080095765302
1.69003 15.462956898775843
1.70003 15.48362073926512
1.71003 15.5040722592361
1.72003 15.52431211236793
1.73003 15.544340963638392
1.74003 15.564159488956465
1.75004 15.583768374804757
1.76004 15.603168317891361
1.77004 15.622360024810888
1.78004 15.641344211714364
1.79004 15.660121603987655
1.80004 15.678692935938251
1.81004 15.697058950489986
1.82004 15.715220398885622
1.83004 15.73317804039686
1.84004 15.750932642041716
1.85004 15.76848497830888
1.86004 15.785835830889
1.87004 15.802985988412525
1.88004 15.819936246194027
1.89004 15.836687405982731
1.90004 15.85324027571913
1.91004 15.869595669297444
1.92004 15.885754406333794
1.93004 15.901717311939933
1.94004 15.917485216502312
1.95004 15.933058955466427
1.96004 15.948439369126191
1.97004 15.963627302418292
1.98004 15.97862360472132
1.99004 15.993429129659557
2.00004 16.008044734911373
2.01004 16.022471282021936
2.02004 16.03670963622031
2.03004 16.05076066624073
2.04004 16.064625244147944
2.05004 16.078304245166468
2.06004 16.091798547513854
2.07004 16.10510903223758
2.08004 16.11823658305574
2.09004 16.13118208620124
2.10004 16.143946430269484
2.11004 16.156530506069593
2.12004 16.16893520647878
2.13004 16.181161426300083
2.14004 16.193210062123256
2.15004 16.205082012188743
2.16004 16.216778176254643
2.17004 16.22829945546669
2.18004 16.239646752231064
2.19004 16.25082097009006
2.20004 16.261823013600456
2.21004 16.272653788214647
2.22004 16.283314200164344
2.23004 16.293805156346888
2.24004 16.304127564214063
2.25005 16.31428233166335
2.26005 16.324270366931685
2.27005 16.334092578491404
2.28005 16.343749874948678
2.29005 16.353243164944054
2.30005 16.362573357055332
2.31005 16.371741359702526
2.32005 16.38074808105491
2.33005 16.389594428940313
2.34005 16.398281310756204
2.35005 16.406809633382984
2.36005 16.415180303099085
2.37005 16.42339422549808
2.38005 16.43145230540757
2.39005 16.43935544681003
2.40005 16.447104552765325
2.41005 16.454700525335074
2.42005 16.46214426550876
2.43005 16.469436673131465
2.44005 16.476578646833303
2.45005 16.483571083960538
2.46005 16.490414880508197
2.47005 16.497110931054383
2.48005 16.503660128696005
2.49005 16.510063364986102
2.50005 16.51632152987265
2.51005 16.522435511638736
2.52005 16.528406196844315
2.53005 16.534234470269233
2.54005 16.539921214857678
2.55005 16.545467311663998
2.56005 16.550873639799836
2.57005 16.55614107638256
2.58005 16.56127049648495
2.59005 16.56626277308623
2.60005 16.571118777024196
2.61005 16.575839376948686
2.62005 16.58042543927616
